Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",12-07-1961,10:25:00,Thor DM-19 Delta,TIROS-3,Retired,59.650769230769235,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",12-07-1961,15:11:00,Atlas-LV3 Agena-B,Midas 3,Retired,108.84232047397124,Success
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",21-07-1961,12:36:00,Mercury-Redstone,Liberty Bell 7 (MR-4),Retired,450.0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",21-07-1961,22:35:00,Thor DM-21 Agena-B,Discoverer 27,Retired,59.650769230769235,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",04-08-1961,0:01:00,Thor DM-21 Agena-B,Discoverer 28,Retired,59.650769230769235,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",06-08-1961,6:00:00,Vostok,Vostok 2,Retired,108.84232047397124,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",16-08-1961,3:21:00,Thor DM-19 Delta,Explorer 12,Retired,59.650769230769235,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",23-08-1961,10:04:00,Atlas-LV3 Agena-B,Ranger 1,Retired,108.84232047397124,Failure
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",25-08-1961,18:29:00,Scout X-1,Explorer 13,Retired,450.0,Partial Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",30-08-1961,20:00:00,Thor DM-21 Agena-B,Discoverer 29,Retired,59.650769230769235,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",09-09-1961,19:28:00,Atlas-LV3 Agena-B,Samos 3,Retired,108.84232047397124,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",12-09-1961,19:59:00,Thor DM-21 Agena-B,Discoverer 30,Retired,59.650769230769235,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",13-09-1961,14:04:00,Atlas-D Mercury,Mercury-Atlas 4 (MA-4),Retired,450.0,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",17-09-1961,21:00:00,Thor DM-21 Agena-B,Discoverer 31,Retired,59.650769230769235,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13-10-1961,19:22:00,Thor DM-21 Agena-B,Discoverer 32,Retired,59.650769230769235,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",21-10-1961,13:53:00,Atlas-LV3 Agena-B,Midas 4,Retired,108.84232047397124,Partial Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",23-10-1961,19:23:00,Thor DM-21 Agena-B,Discoverer 33,Retired,59.650769230769235,Failure
